name,all_reviews,popular_tags
Rento Fortune - Online Dice Board Game,"Mixed,(1,128),- 50% of the 1,128 user reviews for this game are positive.","Casual,Strategy,Board Game,Multiplayer,Indie,Massively Multiplayer,Turn-Based,Addictive,Card Game"
Wasteland Survival,"Mixed,(1,131),- 50% of the 1,131 user reviews for this game are positive.","Free to Play,Survival,Multiplayer,Zombies,Adventure,Simulation,RPG,Action,Singleplayer,Early Access,Open World,Base Building,Crafting,Post-apocalyptic,Massively Multiplayer,FPS,Casual"
Overcast - Walden and the Werewolf,"Mixed,(1,134),- 60% of the 1,134 user reviews for this game are positive.","Horror,Indie,Adventure,Action,First-Person,FPS,Singleplayer,Werewolves,Great Soundtrack"
Swag and Sorcery,"Mixed,(1,138),- 45% of the 1,138 user reviews for this game are positive.","Pixel Graphics,RPG,Singleplayer,Indie,2D,Strategy,Adventure,Casual,Management,Clicker,Simulation,Crafting,Comedy,Funny,Action"
Dungeon Siege III,"Mixed,(1,144),- 57% of the 1,144 user reviews for this game are positive.","RPG,Action,Fantasy,Action RPG,Co-op,Dungeon Crawler,Singleplayer,Local Co-Op,Female Protagonist,Adventure"
HELLGATE: London,"Mixed,(1,150),- 56% of the 1,150 user reviews for this game are positive.","RPG,Action,Demons,Zombies,Loot,Third-Person Shooter,Action RPG,Gore,Violent,Hack and Slash,First-Person,Singleplayer,Post-apocalyptic,FPS,Atmospheric,Multiplayer,Co-op"
EmergeNYC,"Mixed,(1,155),- 66% of the 1,155 user reviews for this game are positive.","Early Access,Simulation,Early Access,Action,Strategy,RPG,Indie,Open World,Multiplayer,Casual,Driving,Singleplayer,Realistic,Racing,First-Person,Adventure"
Sid Meier's Railroads!,"Mixed,(1,158),- 64% of the 1,158 user reviews for this game are positive.","Strategy,Trains,Management,Economy,Simulation,Singleplayer,Multiplayer,Real-Time with Pause,Classic,Casual"
Total War: WARHAMMER - Call of the Beastmen,"Mixed,(1,160),- 58% of the 1,160 user reviews for this game are positive.","Strategy,Action,Fantasy,War,RTS,Turn-Based Strategy,Multiplayer"
Sonic Lost World,"Mixed,(1,160),- 63% of the 1,160 user reviews for this game are positive.","Adventure,Platformer,3D Platformer,Great Soundtrack,Singleplayer,Fast-Paced,Parkour,Action,Colorful,Comedy,Third Person,Family Friendly,Memes,Funny,Open World,Co-op,Classic,Anime,Moddable"
Earthfall,"Mixed,(1,161),- 66% of the 1,161 user reviews for this game are positive.","Action,Co-op,FPS,Online Co-Op,Shooter,Aliens,First-Person,Co-op Campaign,Violent,Gore,Multiplayer,Sci-fi,Horror,Early Access,Story Rich,Singleplayer,Survival,Zombies"
Grand Theft Auto V - Criminal Enterprise Starter Pack,"Mixed,(1,165),- 62% of the 1,165 user reviews for this game are positive.","Action,Adventure,Open World,First-Person,Multiplayer,Third Person,Crime,Sexual Content"
Audition Online,"Mixed,(1,167),- 64% of the 1,167 user reviews for this game are positive.","Free to Play,Music,Rhythm,Massively Multiplayer,Anime,Casual,Multiplayer,Character Customization,Singleplayer,Psychological Horror"
The Black Death,"Mixed,(1,175),- 61% of the 1,175 user reviews for this game are positive.","Early Access,Survival,Medieval,Open World,Multiplayer,RPG,Early Access,Adventure,MMORPG,Crafting,Action,Dark,PvP,Massively Multiplayer,Base Building,Co-op,Third Person,Indie,Sandbox,Atmospheric"
The Swords of Ditto: Mormo's Curse,"Mixed,(1,176),- 52% of the 1,176 user reviews for this game are positive.","Adventure,RPG,Action,Rogue-like,Indie,Co-op,Local Co-Op,2D,Rogue-lite,Cute,Multiplayer,Hand-drawn,Top-Down,Cartoon,Casual,Singleplayer,Local Multiplayer"
Order of Battle: World War II,"Mixed,(1,177),- 69% of the 1,177 user reviews for this game are positive.","Strategy,World War II,Turn-Based,Free to Play,Turn-Based Strategy,Wargame,Multiplayer,Hex Grid,Simulation,Singleplayer,War,Replay Value,Historical,Tactical,Turn-Based Tactics,Turn-Based Combat,Level Editor,Moddable,Asynchronous Multiplayer"
Farm Manager 2018,"Mixed,(1,179),- 64% of the 1,179 user reviews for this game are positive.","Simulation,Strategy,Indie,Agriculture,Management,Resource Management,Building,Singleplayer,Casual,Atmospheric,Relaxing,Family Friendly,Realistic,Economy,Great Soundtrack,Inventory Management,City Builder"
Heat,"Mixed,(1,184),- 51% of the 1,184 user reviews for this game are positive.","Early Access,Survival,Western,Open World,Multiplayer,America,Early Access,Adventure,Sexual Content,Action,Indie,Violent,Crafting,PvP,RPG,Building,Simulation,Gore,Sandbox,Massively Multiplayer"
Stellaris: Apocalypse,"Mixed,(1,193),- 62% of the 1,193 user reviews for this game are positive.","Simulation,Strategy,Space,4X,Grand Strategy"
DiRT Rally 2.0,"Mixed,(1,196),- 64% of the 1,196 user reviews for this game are positive.","Racing,Simulation,Realistic,Driving,Offroad,Sports,Difficult,Singleplayer,Multiplayer,First-Person,VR,3D Vision,TrackIR,Open World"
King???Bounty: Legions,"Mixed,(1,198),- 51% of the 1,198 user reviews for this game are positive.","Free to Play,Strategy,RPG,Adventure,Turn-Based,Massively Multiplayer,Turn-Based Strategy,Indie,Fantasy"
All Is Dust,"Mixed,(1,215),- 43% of the 1,215 user reviews for this game are positive.","Free to Play,Horror,Multiplayer,First-Person,Survival,Adventure,Singleplayer,Walking Simulator,Survival Horror,Dark,Open World,Indie,Action,Zombies,Short,VR,Co-op,FPS,Comedy,Massively Multiplayer"
PRO EVOLUTION SOCCER 2019 LITE,"Mixed,(1,217),- 40% of the 1,217 user reviews for this game are positive.","Sports,Free to Play,Soccer,Multiplayer,Singleplayer,Football,Simulation,Online Co-Op,Action"
Street Fighter X Tekken,"Mixed,(1,222),- 56% of the 1,222 user reviews for this game are positive.","Fighting,Action,2D Fighter,Arcade,Multiplayer,Local Multiplayer,Local Co-Op,Beat 'em up,Controller,Online Co-Op,2.5D,Anime,2D,3D Vision,Co-op"
Royal Quest,"Mixed,(1,223),- 68% of the 1,223 user reviews for this game are positive.","Free to Play,Massively Multiplayer,RPG,Adventure,MMORPG,Open World,Fantasy,Multiplayer,Action,Hack and Slash,Third Person,Singleplayer,Co-op"
CaesarIA,"Mixed,(1,225),- 62% of the 1,225 user reviews for this game are positive.","Early Access,Free to Play,City Builder,Strategy,Indie,Early Access,Singleplayer,Classic,Rome"
Secret of Mana,"Mixed,(1,227),- 64% of the 1,227 user reviews for this game are positive.","JRPG,RPG,Singleplayer,Great Soundtrack,Story Rich,Anime,Adventure,Remake,Action RPG,Cute,Co-op,Classic,Fantasy,Multiplayer,Action,Local Co-Op,Retro,Cult Classic,Local Multiplayer"
Wild Terra Online,"Mixed,(1,233),- 60% of the 1,233 user reviews for this game are positive.","Massively Multiplayer,RPG,Survival,Sandbox,Open World,Indie,Isometric,Adventure,Action,Crafting,Medieval,Building,Multiplayer,Realistic,Loot,Base Building,MMORPG,Free to Play,Exploration,Early Access"
Aberoth,"Mixed,(1,233),- 61% of the 1,233 user reviews for this game are positive.","Free to Play,Pixel Graphics,Massively Multiplayer,RPG,Adventure,Open World,Indie,Action,Multiplayer,MMORPG,Retro,PvP,2D,Casual,Sandbox,Fantasy,Co-op,Medieval"
Pool Nation FX Lite,"Mixed,(1,237),- 63% of the 1,237 user reviews for this game are positive.","Free to Play,Sports,Pool,Multiplayer,Simulation,Casual,Strategy,Indie,Singleplayer,Local Multiplayer,Relaxing,Massively Multiplayer,Physics,Addictive,Team-Based"
Rend,"Mixed,(1,240),- 57% of the 1,240 user reviews for this game are positive.","Survival,Open World,Adventure,Crafting,Base Building,Multiplayer,Massively Multiplayer,RPG,Action,Building,Co-op,Sandbox,Indie,Fantasy,Third Person,Early Access,Third-Person Shooter,PvP"
Fog Of War - Free Edition,"Mixed,(1,242),- 45% of the 1,242 user reviews for this game are positive.","Free to Play,World War II,Multiplayer,Action,FPS,Massively Multiplayer,Violent,Gore,Open World,Singleplayer,Indie,First-Person,Shooter,Co-op,War,Controller,Zombies"
Eador. Masters of the Broken World,"Mixed,(1,253),- 65% of the 1,253 user reviews for this game are positive.","Strategy,Turn-Based Strategy,Fantasy,Turn-Based,Indie,RPG,Singleplayer,Tactical,4X,Difficult,Masterpiece,Hex Grid,Turn-Based Tactics,Multiplayer,Tactical RPG,Adventure,Local Multiplayer"
Dead Rising 4,"Mixed,(1,256),- 48% of the 1,256 user reviews for this game are positive.","Zombies,Action,Open World,Violent,Gore,Multiplayer,Comedy,Survival,Co-op,Horror,Third Person,Heist,Funny,Memes,Nudity,Casual,Online Co-Op,Survival Horror,Singleplayer,Anime"
Silent Hunter 5ì§? Battle of the Atlantic,"Mixed,(1,262),- 40% of the 1,262 user reviews for this game are positive.","Simulation,World War II,Naval,Submarine,Historical,Military,Strategy,Multiplayer,Underwater,Singleplayer"
LOST PLANETì§?3,"Mixed,(1,276),- 61% of the 1,276 user reviews for this game are positive.","Action,Third-Person Shooter,Sci-fi,Multiplayer,Shooter,Singleplayer,Atmospheric,Open World,Mechs,Adventure,Third Person,Horror,Aliens,Co-op,Story Rich,Survival,Controller,Masterpiece,Space"
Grand Ages: Medieval,"Mixed,(1,291),- 43% of the 1,291 user reviews for this game are positive.","Strategy,Simulation,Medieval,Trading,Grand Strategy,RTS,Economy,Management,City Builder,Multiplayer,Sandbox,Historical,War,Great Soundtrack,Resource Management,Singleplayer,Politics,Agriculture,Anime,Political"
Age of Conan: Unchained,"Mixed,(1,296),- 69% of the 1,296 user reviews for this game are positive.","Free to Play,Massively Multiplayer,RPG,Action,Adventure,MMORPG,Multiplayer,Nudity,Open World,Gore,Mature,Fantasy,Character Customization,Great Soundtrack,Singleplayer"
The Incredible Adventures of Van Helsing II,"Mixed,(1,307),- 67% of the 1,307 user reviews for this game are positive.","RPG,Action,Adventure,Hack and Slash,Action RPG,Indie,Co-op,Steampunk,Multiplayer,Singleplayer,Dungeon Crawler,Isometric,Fantasy,Vampire,Third Person,Loot,Dark Fantasy,Masterpiece,Tower Defense,Controller"
Wurm Unlimited,"Mixed,(1,316),- 69% of the 1,316 user reviews for this game are positive.","Open World,Sandbox,RPG,Crafting,Survival,Building,Adventure,Multiplayer,Indie,Base Building,Co-op,MMORPG,Singleplayer,PvP,First-Person,Medieval,Fantasy,PvE,Massively Multiplayer,Simulation"
Project Genom,"Mixed,(1,321),- 54% of the 1,321 user reviews for this game are positive.","Early Access,Massively Multiplayer,Action,RPG,Sci-fi,Early Access,Open World,MMORPG,Indie,Shooter,Third-Person Shooter,Third Person,Crafting,Multiplayer"
CityBattle | Virtual Earth,"Mixed,(1,352),- 67% of the 1,352 user reviews for this game are positive.","Free to Play,Shooter,Action,FPS,Team-Based,Massively Multiplayer,Class-Based,First-Person,Competitive,Co-op,Robots,Futuristic,Fast-Paced,Multiplayer"
DEAD OR ALIVE 6,"Mixed,(1,359),- 63% of the 1,359 user reviews for this game are positive.","Fighting,Sexual Content,Action,Female Protagonist,Nudity,Violent,Multiplayer,Competitive,Ninja,Anime,Mature,Singleplayer,Gore,Free to Play,Great Soundtrack,Beat 'em up,Arcade"
Mighty Party,"Mixed,(1,362),- 62% of the 1,362 user reviews for this game are positive.","Free to Play,Card Game,RPG,Strategy,MMORPG,PvP,Turn-Based Tactics,Massively Multiplayer,Fast-Paced,Team-Based,Trading Card Game,Turn-Based Combat,Turn-Based Strategy,Adventure,Tactical,Action,Competitive,Rogue-like,JRPG,Class-Based"
WWE 2K18,"Mixed,(1,376),- 49% of the 1,376 user reviews for this game are positive.","Sports,Simulation,Wrestling,Fighting,Multiplayer,Character Customization,Singleplayer"
Blind Trust,"Mixed,(1,376),- 51% of the 1,376 user reviews for this game are positive.","Free to Play,Adventure,Multiplayer,Co-op,Indie,Survival,Open World,Local Co-Op,Puzzle,First-Person,Horror,Singleplayer"
Einar,"Mixed,(1,394),- 61% of the 1,394 user reviews for this game are positive.","Free to Play,Action,Survival,Open World,Multiplayer,Singleplayer,Violent,Strategy,Adventure,Indie,Casual,Third Person,RPG,Medieval,Co-op,Sexual Content,Hack and Slash,Shooter,Horror,Massively Multiplayer"
Space Hulk,"Mixed,(1,397),- 69% of the 1,397 user reviews for this game are positive.","Warhammer 40K,Strategy,Turn-Based,Board Game,Games Workshop,Turn-Based Strategy,Sci-fi,Indie,Tactical,Singleplayer,Multiplayer"
The Technomancer,"Mixed,(1,409),- 67% of the 1,409 user reviews for this game are positive.","RPG,Action,Sci-fi,Open World,Cyberpunk,Singleplayer,Third Person,Post-apocalyptic,Adventure,Mars,Nudity,Great Soundtrack,Mature,Atmospheric,Story Rich,Choices Matter,Sexual Content,Action RPG,Character Customization"
Take On Mars,"Mixed,(1,411),- 55% of the 1,411 user reviews for this game are positive.","Simulation,Space,Mars,Exploration,Science,Survival,Building,Space Sim,Multiplayer,Sandbox,Education,Realistic,Early Access,Co-op,Open World,Moddable,Singleplayer,Futuristic,Adventure,First-Person"
Battlestations Pacific,"Mixed,(1,413),- 63% of the 1,413 user reviews for this game are positive.","World War II,Strategy,Action,Naval,Simulation,RTS,Military,Flight,Multiplayer,Singleplayer,Open World,Historical,Alternate History"
Rise of Flight United,"Mixed,(1,416),- 52% of the 1,416 user reviews for this game are positive.","Simulation,Flight,World War I,Free to Play,Multiplayer,Historical,Singleplayer,Action,Realistic,War,Shooter,World War II"
Fallout New Vegas: Dead Money,"Mixed,(1,417),- 64% of the 1,417 user reviews for this game are positive.","RPG,Action,Horror,Survival Horror,Post-apocalyptic"
RAID: World War II,"Mixed,(1,427),- 53% of the 1,427 user reviews for this game are positive.","Action,World War II,FPS,Multiplayer,Co-op,Shooter,Violent,Gore,First-Person,Stealth,Adventure,Heist,RPG,Singleplayer,Comedy,Great Soundtrack,Memes,Open World,Atmospheric,Illuminati"
Call of War,"Mixed,(1,432),- 50% of the 1,432 user reviews for this game are positive.","Free to Play,Strategy,World War II,War,Massively Multiplayer,Military,Grand Strategy,Simulation,Multiplayer,Historical,Diplomacy,Tactical,RTS,Real Time Tactics,Wargame,Alternate History,Real-Time,Singleplayer"
Mighty No. 9,"Mixed,(1,435),- 57% of the 1,435 user reviews for this game are positive.","Action,Platformer,Anime,Kickstarter,Side Scroller,2.5D,Retro,Robots,Multiplayer,Singleplayer,Indie,Co-op,Casual,Difficult,Sci-fi,Comedy,2D,Great Soundtrack,Survival Horror,Family Friendly"
hack_me,"Mixed,(1,440),- 69% of the 1,440 user reviews for this game are positive.","Simulation,Hacking,Indie,Early Access"
