name,all_reviews,popular_tags
Foosball: World Tour,"Mostly Positive,(64),- 76% of the 64 user reviews for this game are positive.","Sports,Casual,Indie,4 Player Local,Soccer,Football,Local Co-Op,Competitive,Multiplayer,Family Friendly"
Banzai Escape,"Mostly Positive,(64),- 76% of the 64 user reviews for this game are positive.","Action,Anime,On-Rails Shooter,Female Protagonist"
Trash Story,"Mostly Positive,(64),- 79% of the 64 user reviews for this game are positive.","Casual,Gore,Sexual Content,Violent,Visual Novel"
Steel Storm: Burning Retribution,"Mostly Positive,(64),- 79% of the 64 user reviews for this game are positive.","Indie,Action,Shooter,Arcade,Sci-fi,Top-Down Shooter,Singleplayer,Shoot 'Em Up"
Call of Dutyì§? Black Ops III - Season Pass,"Mostly Positive,(641),- 73% of the 641 user reviews for this game are positive.","Action,Adventure,FPS,Zombies,First-Person,Multiplayer,Shooter,Co-op"
Rugby Challenge 3 Demo,"Mostly Positive,(65),- 70% of the 65 user reviews for this game are positive.",Sports
Train Simulator: North Jersey Coast Line Route Add-On,"Mostly Positive,(65),- 72% of the 65 user reviews for this game are positive.","Simulation,Trains"
Ninja Way,"Mostly Positive,(65),- 72% of the 65 user reviews for this game are positive.","Indie,Casual,Ninja,Platformer"
TankZone Battle,"Mostly Positive,(65),- 73% of the 65 user reviews for this game are positive.","Action,Indie,Multiplayer,Online Co-Op,PvP,Singleplayer,Shooter,Team-Based,Tanks,Tactical,Military,War,Casual,Fast-Paced,Competitive,Futuristic,Funny,Family Friendly"
Princess Isabella,"Mostly Positive,(65),- 75% of the 65 user reviews for this game are positive.","Adventure,Hidden Object,Puzzle,Casual,Point & Click"
Deadlings: Rotten Edition,"Mostly Positive,(65),- 75% of the 65 user reviews for this game are positive.","Action,Indie,Adventure,Puzzle-Platformer,Arcade,Zombies"
Thing-in-Itself,"Mostly Positive,(65),- 76% of the 65 user reviews for this game are positive.","Casual,Adventure,Simulation,Indie,Short,Story Rich"
Firewood,"Mostly Positive,(65),- 78% of the 65 user reviews for this game are positive.","Adventure,Indie,Casual,Pixel Graphics,Horror,Psychological Horror,Puzzle,2D,Great Soundtrack,Story Rich"
The Moon Sliver,"Mostly Positive,(650),- 74% of the 650 user reviews for this game are positive.","Walking Simulator,Psychological Horror,Adventure,Exploration,First-Person,Story Rich,Indie,Horror,Short,Atmospheric"
Killing Time,"Mostly Positive,(652),- 72% of the 652 user reviews for this game are positive.","Nudity,Sexual Content,RPG,Anime,Female Protagonist,JRPG,RPGMaker,Cute,Singleplayer,Dungeon Crawler,Visual Novel,Funny,Indie,Mature"
Cards and Castles,"Mostly Positive,(654),- 70% of the 654 user reviews for this game are positive.","Free to Play,Card Game,Indie,Strategy,Massively Multiplayer,Trading Card Game,Multiplayer"
Chaser,"Mostly Positive,(657),- 75% of the 657 user reviews for this game are positive.","Action,FPS,Sci-fi,First-Person,Singleplayer,Cyberpunk,Multiplayer,Classic,Shooter,Masterpiece,Bullet Time,Futuristic,Atmospheric,Old School"
Arma 3 Marksmen,"Mostly Positive,(659),- 79% of the 659 user reviews for this game are positive.","Simulation,Action,Strategy,FPS"
The Crow's Eye,"Mostly Positive,(66),- 72% of the 66 user reviews for this game are positive.","Adventure,Indie,Puzzle-Platformer,Puzzle,Psychological Horror,Atmospheric,Horror"
Bone Voyage,"Mostly Positive,(66),- 72% of the 66 user reviews for this game are positive.","Early Access,Free to Play,Adventure,Indie,Early Access,Third Person,Story Rich,Singleplayer,Family Friendly,Comedy,Cute,Funny,Exploration,Colorful,Atmospheric,Multiplayer"
Victory and Glory: Napoleon,"Mostly Positive,(66),- 74% of the 66 user reviews for this game are positive.","Strategy,Historical,Wargame,Grand Strategy,Singleplayer,Board Game,Turn-Based,Turn-Based Strategy,Tactical"
ENYO Arcade,"Mostly Positive,(66),- 74% of the 66 user reviews for this game are positive.","Indie,Action,Casual,Free to Play,Platformer,2D,Female Protagonist,Retro,Side Scroller,Pixel Graphics,Cyberpunk,Atmospheric,Singleplayer,Shooter,Fast-Paced,Sci-fi,Parkour,Gore,Dark,Zombies"
Fancy Skulls,"Mostly Positive,(66),- 75% of the 66 user reviews for this game are positive.","Early Access,Indie,Action,Early Access,FPS,Rogue-like,Procedural Generation"
ORB,"Mostly Positive,(66),- 77% of the 66 user reviews for this game are positive.","Strategy,Space,RTS,Sci-fi"
Magi Trials,"Mostly Positive,(66),- 78% of the 66 user reviews for this game are positive.","Adventure,Indie,Casual,Visual Novel,Nudity,Anime,Sexual Content"
Windlands,"Mostly Positive,(665),- 75% of the 665 user reviews for this game are positive.","VR,Adventure,Indie,Exploration,First-Person,Great Soundtrack,Replay Value,Atmospheric,Platformer,Singleplayer,Fantasy,Early Access,Parkour,Competitive,Open World,RPG,Racing"
PAYDAY 2: Gage Sniper Pack,"Mostly Positive,(666),- 79% of the 666 user reviews for this game are positive.","Action,RPG,Sniper,FPS,Heist,Co-op,Shooter"
"TimeShift??""Master time to become the ultimate weapon! Dr. Aiden Krone has made a Time Jump across the space-time continuum - a reckless act with frightening consequences. Now","Mostly Positive,(668),- 79% of the 668 user reviews for this game are positive.","Action,FPS,Time Manipulation,Sci-fi,Masterpiece,First-Person,Shooter,Singleplayer,Atmospheric,Bullet Time,Multiplayer,Classic,Futuristic,Time Travel,Gore,Alternate History"
WAR DUST | 32 vs 32 Battles,"Mostly Positive,(669),- 78% of the 669 user reviews for this game are positive.","Early Access,Simulation,VR,Early Access,Massively Multiplayer,Action,Violent,FPS"
There Was A Caveman,"Mostly Positive,(67),- 70% of the 67 user reviews for this game are positive.","Indie,Platformer,Pixel Graphics,Retro,Dinosaurs,2D,Action,Action-Adventure,Singleplayer,Adventure,Fantasy,Difficult"
The Next World,"Mostly Positive,(67),- 70% of the 67 user reviews for this game are positive.","Adventure,Casual,Indie,Sci-fi,Visual Novel,Strategy"
Creepy Road,"Mostly Positive,(67),- 71% of the 67 user reviews for this game are positive.","Action,Indie,Comedy,Singleplayer,Bullet Hell,Adventure,Side Scroller,Shoot 'Em Up,2D,Platformer,Controller,Arcade,Cartoon,Funny,Shooter,Difficult,Atmospheric,Classic,Great Soundtrack"
Drums Hero,"Mostly Positive,(67),- 73% of the 67 user reviews for this game are positive.","Casual,Indie,Simulation,Sports,Action,Music,VR,Rhythm"
Disorder,"Mostly Positive,(67),- 73% of the 67 user reviews for this game are positive.","Indie,Action,Platformer,Psychological,Puzzle-Platformer,Pixel Graphics,Dark,Singleplayer,Story Rich,Difficult,Controller,Great Soundtrack"
Axis Football 2015,"Mostly Positive,(67),- 73% of the 67 user reviews for this game are positive.","Sports,Football,Simulation,Multiplayer"
Aqua Moto Racing Utopia,"Mostly Positive,(67),- 73% of the 67 user reviews for this game are positive.","Sports,Racing,Action,Indie,Simulation,Arcade,Multiplayer,Singleplayer,4 Player Local,Atmospheric"
Wells,"Mostly Positive,(67),- 76% of the 67 user reviews for this game are positive.","Action,Indie,Great Soundtrack,Steampunk,Platformer,Atmospheric,Singleplayer,Adventure,Side Scroller,3D Platformer,Action-Adventure,Controller"
Toilet Tycoon,"Mostly Positive,(67),- 76% of the 67 user reviews for this game are positive.","Simulation,Indie,Psychological Horror"
Road Scars: Origins,"Mostly Positive,(67),- 76% of the 67 user reviews for this game are positive.","Action,Adventure,Racing,Indie,Retro,Great Soundtrack,Casual"
Magnesia,"Mostly Positive,(67),- 76% of the 67 user reviews for this game are positive.","Early Access,Free to Play,Indie,Early Access,Casual,Adventure,RPG"
Far Cryì§?3 Deluxe Bundle DLC,"Mostly Positive,(67),- 76% of the 67 user reviews for this game are positive.","Action,Adventure,Open World,FPS"
Nya Nya Nya Girls (è»»è»»è»?_(=^ç¯€??µì‰ˆ^=)_(è»»è»»è»?,"Mostly Positive,(67),- 77% of the 67 user reviews for this game are positive.","Sexual Content,Nudity,Indie,Casual,Puzzle,Anime"
Car Mechanic Simulator 2018 - Mazda DLC,"Mostly Positive,(67),- 77% of the 67 user reviews for this game are positive.","Simulation,Racing,Singleplayer,Realistic,First-Person,Atmospheric,Relaxing,Building,Management"
Elisa: The Innkeeper - Prequel,"Mostly Positive,(670),- 78% of the 670 user reviews for this game are positive.","Free to Play,Visual Novel,Anime,Nudity,Sexual Content,Adventure,Casual,Indie,Mature,Female Protagonist,Romance"
Fingered,"Mostly Positive,(674),- 75% of the 674 user reviews for this game are positive.","Indie,Casual,Detective,Funny,Puzzle,Singleplayer"
NALOGI,"Mostly Positive,(676),- 79% of the 676 user reviews for this game are positive.","Sexual Content,Anime,Nudity,Indie,Casual,RPG,Adventure,Strategy,Psychological Horror,RPGMaker,Memes,Visual Novel,Singleplayer"
Lightseekers,"Mostly Positive,(68),- 70% of the 68 user reviews for this game are positive.","Free to Play,Strategy,Card Game"
Bronze Age - HD Edition,"Mostly Positive,(68),- 70% of the 68 user reviews for this game are positive.","Strategy,Indie,Simulation,Resource Management,Atmospheric,Historical,Turn-Based Strategy,Casual"
Fortissimo FA INTL Ver,"Mostly Positive,(68),- 72% of the 68 user reviews for this game are positive.","Adventure,Simulation,Indie,Visual Novel,Anime,Nudity,Sexual Content"
Telepath Tactics,"Mostly Positive,(68),- 73% of the 68 user reviews for this game are positive.","Strategy,RPG,Indie,Turn-Based Tactics,Turn-Based,Tactical RPG"
Just Cause??3 - Rocket Launcher Sports Car,"Mostly Positive,(68),- 73% of the 68 user reviews for this game are positive.","Action,Adventure"
flChess,"Mostly Positive,(68),- 73% of the 68 user reviews for this game are positive.","Indie,Sports,Board Game,Chess,Multiplayer"
Dimension Hunter VR,"Mostly Positive,(68),- 73% of the 68 user reviews for this game are positive.","Action,Indie,Gore,Violent,Horror,VR"
1917 - The Alien Invasion DX,"Mostly Positive,(68),- 73% of the 68 user reviews for this game are positive.","Shoot 'Em Up,Action,Indie,Singleplayer,2D,World War I,Retro,Pixel Graphics,Arcade,Strategy,Funny,Atmospheric,Stylized,Great Soundtrack,Shooter,War,Fantasy,Survival,Wargame,Soundtrack"
Homefrontì§? The Revolution - Aftermath,"Mostly Positive,(68),- 75% of the 68 user reviews for this game are positive.","Action,Adventure,Violent"
ClusterPuck 99,"Mostly Positive,(68),- 76% of the 68 user reviews for this game are positive.","Sports,Indie,Local Multiplayer,Competitive,Controller,Multiplayer,e-sports,Great Soundtrack"
Clickteam Fusion 2.5 Free Edition,"Mostly Positive,(68),- 76% of the 68 user reviews for this software are positive.","Animation & Modeling,Utilities,Web Publishing,Education"
Saints Row: The Third - Special Ops Vehicle Pack,"Mostly Positive,(68),- 77% of the 68 user reviews for this game are positive.",Action
PROZE: Prologue,"Mostly Positive,(68),- 77% of the 68 user reviews for this game are positive.","Adventure,Indie,Free to Play,Action,VR,Puzzle,Horror,Psychological Horror,Time Travel,Singleplayer,Episodic,Exploration,Story Rich,Great Soundtrack,Atmospheric,Supernatural,Walking Simulator,Sci-fi,Detective,Open World"
Curious Cases,"Mostly Positive,(68),- 77% of the 68 user reviews for this game are positive.","Adventure,Casual,Indie,Puzzle,Mystery,Co-op,Multiplayer,Horror,Competitive"
ARCADE GAME SERIES: Ms. PAC-MAN,"Mostly Positive,(68),- 79% of the 68 user reviews for this game are positive.","Action,Arcade,Retro,Classic,2D"
Homebrew - Patent Unknown,"Mostly Positive,(681),- 74% of the 681 user reviews for this game are positive.","Early Access,Sandbox,Simulation,Building,Open World,Early Access,Racing,Multiplayer,Physics,Indie,Action,Co-op,Adventure,Moddable,Sports"
Imperial Glory,"Mostly Positive,(684),- 77% of the 684 user reviews for this game are positive.","Strategy,RTS,Historical,Turn-Based Strategy,Multiplayer,Singleplayer,Classic,War,Masterpiece"
The Banner Saga 3,"Mostly Positive,(685),- 78% of the 685 user reviews for this game are positive.","Strategy,RPG,Turn-Based Tactics,Indie,Story Rich,Turn-Based Strategy,Turn-Based Combat,Tactical,Tactical RPG,Turn-Based,Singleplayer,Choices Matter"
Office Battle,"Mostly Positive,(687),- 72% of the 687 user reviews for this game are positive.","Indie,Action,Violent,Funny,Beat 'em up,Singleplayer,Comedy,Top-Down,Fast-Paced,Martial Arts,Bullet Time"
Mount Wingsuit,"Mostly Positive,(69),- 72% of the 69 user reviews for this game are positive.","Simulation,Sports,Action,Indie,VR"
Ancient Frontier,"Mostly Positive,(69),- 72% of the 69 user reviews for this game are positive.","Strategy,Turn-Based Strategy,Turn-Based Tactics,Sci-fi,Tactical RPG,Indie,Strategy RPG,RPG,Space,Turn-Based"
Train Simulator: Berlin - Leipzig Route Add-On,"Mostly Positive,(69),- 73% of the 69 user reviews for this game are positive.",Simulation
Pax Nova,"Mostly Positive,(69),- 73% of the 69 user reviews for this game are positive.","Early Access,Strategy,4X,Turn-Based,Space,Turn-Based Strategy,Early Access,Indie,Hex Grid,Sci-fi,Grand Strategy,Science,Procedural Generation,Artificial Intelligence,Mars,Retro"
Woah Dave!,"Mostly Positive,(69),- 76% of the 69 user reviews for this game are positive.","Action,Indie,Multiplayer,Arcade,Addictive,Platformer,Retro,2D,Pixel Graphics"
Secret Files 2: Puritas Cordis,"Mostly Positive,(69),- 76% of the 69 user reviews for this game are positive.","Adventure,Point & Click,Female Protagonist"
Beeftacular,"Mostly Positive,(69),- 76% of the 69 user reviews for this game are positive.","Casual,Action,Indie,Sports,Racing,Platformer,Level Editor,Fast-Paced,Difficult,Singleplayer,Puzzle,Destruction"
Tenrow,"Mostly Positive,(69),- 78% of the 69 user reviews for this game are positive.","Indie,Casual,Puzzle"
Solar Flux,"Mostly Positive,(69),- 79% of the 69 user reviews for this game are positive.","Indie,Strategy,Puzzle,Space"
Battle for Blood - Epic battles within 30 seconds!,"Mostly Positive,(690),- 72% of the 690 user reviews for this game are positive.","Casual,Free to Play,Strategy,Indie,Tower Defense,Match 3,Puzzle"
ARK: Survival Evolved Season Pass,"Mostly Positive,(693),- 72% of the 693 user reviews for this game are positive.","Action,Adventure,Massively Multiplayer,Survival,RPG,Dinosaurs,Indie,Open World,Multiplayer"
The Dwarves,"Mostly Positive,(694),- 74% of the 694 user reviews for this game are positive.","RPG,Fantasy,Tactical RPG,Real-Time with Pause,Kickstarter,Adventure,Open World,Story Rich,Singleplayer,Great Soundtrack,Action"
Evil Maze,"Mostly Positive,(694),- 77% of the 694 user reviews for this game are positive.","Nudity,Sexual Content,Mature,RPG,RPGMaker,Anime,Female Protagonist,Adventure,Action,Indie,Strategy,Pixel Graphics,2D,Shooter"
Monday Night Combat,"Mostly Positive,(697),- 79% of the 697 user reviews for this game are positive.","Action,Indie,MOBA,Third-Person Shooter,Sports,Strategy,Multiplayer,Arena Shooter,Comedy,Tower Defense,Co-op,Cartoon"
BATTLETECH,"Mostly Positive,(7,030),- 71% of the 7,030 user reviews for this game are positive.","Mechs,Strategy,Turn-Based,Turn-Based Tactics,Sci-fi,Turn-Based Strategy,Tactical,Singleplayer,Robots,RPG,Action,Multiplayer,Futuristic,Character Customization,Management,Adventure,Space,Story Rich,Great Soundtrack,Difficult"
Foxhole,"Mostly Positive,(7,084),- 79% of the 7,084 user reviews for this game are positive.","Early Access,Strategy,Massively Multiplayer,World War II,War,Multiplayer,Action,Military,Sandbox,Team-Based,Early Access,Top-Down Shooter,Shooter,Indie,Base Building,Tactical,Open World,RPG,Co-op,Crafting"
MapleStory 2,"Mostly Positive,(7,088),- 74% of the 7,088 user reviews for this game are positive.","Massively Multiplayer,MMORPG,Anime,Cute,RPG,Adventure,Casual,Character Customization,Action,Simulation,Fantasy,Multiplayer,Building,Open World,Psychological Horror,Colorful,Sandbox,Action RPG,Nudity"
Tropico 5,"Mostly Positive,(7,207),- 76% of the 7,207 user reviews for this game are positive.","Strategy,City Builder,Simulation,Sandbox,Multiplayer,Economy,Politics,Management,Singleplayer,Resource Management,Masterpiece,Comedy,Co-op,RPG,Historical,Great Soundtrack,RTS,Atmospheric,Open World,Funny"
Aura Kingdom,"Mostly Positive,(7,240),- 78% of the 7,240 user reviews for this game are positive.","Anime,Free to Play,MMORPG,RPG,Massively Multiplayer,Adventure,Multiplayer,Fantasy,Open World,Action,Cute,Casual,JRPG,Magic,Third Person,PvE,Nudity,Online Co-Op,Co-op,Female Protagonist"
Shadowverse CCG,"Mostly Positive,(7,712),- 73% of the 7,712 user reviews for this game are positive.","Free to Play,Card Game,Anime,Strategy,Trading Card Game,Multiplayer,Fantasy,Turn-Based,Sexual Content,Competitive,Nudity,Singleplayer,JRPG,Casual,Adventure,MMORPG,PvP,Psychological Horror,Action,Cute"
FINAL FANTASYì§?XIII,"Mostly Positive,(7,758),- 71% of the 7,758 user reviews for this game are positive.","JRPG,RPG,Linear,Female Protagonist,Great Soundtrack,Singleplayer,Fantasy,Story Rich,Adventure,Cinematic,Sci-fi,Action,Third Person,Atmospheric,Turn-Based Combat,Action RPG,Futuristic,Masterpiece,Turn-Based,Strategy"
Ragnarok - ARK Expansion Map,"Mostly Positive,(7,797),- 78% of the 7,797 user reviews for this game are positive.","Survival,Adventure,Dinosaurs,Massively Multiplayer,Action,RPG,Dragons,Indie,Open World,Free to Play,Multiplayer,Building,Base Building,Crafting,Singleplayer,Co-op,First-Person"
Steam Controller,"Mostly Positive,(7,942),- 73% of the 7,942 user reviews for this hardware are positive.","Controller,Hardware,Steam Machine,Local Multiplayer,3D Vision,Masterpiece,VR,Epic,Dog,Beautiful,Design & Illustration,Sexual Content,e-sports,Early Access,Fantasy,Medieval"
Contagion,"Mostly Positive,(7,991),- 74% of the 7,991 user reviews for this game are positive.","Zombies,Survival,Co-op,Action,Horror,Multiplayer,FPS,Online Co-Op,First-Person,Indie,Shooter,Open World,Adventure,Survival Horror,PvP,Gore,Atmospheric,Singleplayer,Competitive,Local Co-Op"
CPUCores :: Maximize Your FPS,"Mostly Positive,(7,999),- 72% of the 7,999 user reviews for this software are positive.","Utilities,Software,Singleplayer,Design & Illustration,Action,Gaming,RPG,Indie,Hardware,Casual,Mod,VR,Epic,Mouse only,FPS"
Pavilion,"Mostly Positive,(70),- 70% of the 70 user reviews for this game are positive.","Adventure,Indie,Puzzle,Atmospheric,Isometric"
Kart Racing Pro,"Mostly Positive,(70),- 71% of the 70 user reviews for this game are positive.","Racing,Simulation,Sports,VR"
Heroes & Generals - 14 day Veteran Membership,"Mostly Positive,(70),- 72% of the 70 user reviews for this game are positive.","Action,Free to Play,Massively Multiplayer,Indie,World War II,Violent"
SoulHunt,"Mostly Positive,(70),- 74% of the 70 user reviews for this game are positive.","Early Access,Early Access,Action,Indie,Multiplayer"
Night Trap - 25th Anniversary Edition,"Mostly Positive,(70),- 75% of the 70 user reviews for this game are positive.","Action,FMV,Horror,Singleplayer,Classic,Adventure,1990's,Point & Click,Female Protagonist,Cult Classic,Remake"
Fear of Clowns,"Mostly Positive,(70),- 75% of the 70 user reviews for this game are positive.","Gore,Indie,Violent,Action,Adventure,Horror"
boxlife,"Mostly Positive,(70),- 75% of the 70 user reviews for this game are positive.","Indie,First-Person,Metroidvania"
BIT.TRIP VOID,"Mostly Positive,(70),- 75% of the 70 user reviews for this game are positive.","Indie,Action,Music,Rhythm"
688(I) Hunter/Killer,"Mostly Positive,(70),- 75% of the 70 user reviews for this game are positive.","Strategy,Simulation,Naval,Submarine"
THE LAST BLADE,"Mostly Positive,(70),- 77% of the 70 user reviews for this game are positive.","Action,Fighting,2D Fighter,Arcade,2D,Anime,Classic"
Legend of Numbers,"Mostly Positive,(70),- 77% of the 70 user reviews for this game are positive.","Casual,Free to Play,Indie,Strategy,Match 3"
Xotic,"Mostly Positive,(70),- 78% of the 70 user reviews for this game are positive.","Action,Indie,FPS,Arcade,Sci-fi,First-Person"
SVRVIVE: The Deus Helix,"Mostly Positive,(70),- 78% of the 70 user reviews for this game are positive.","Adventure,Indie,VR,Puzzle"
RACE - The WTCC Game,"Mostly Positive,(70),- 78% of the 70 user reviews for this game are positive.","Racing,Simulation"
Influent,"Mostly Positive,(704),- 73% of the 704 user reviews for this game are positive.","Education,Indie,Simulation,Singleplayer,Kickstarter,Casual,FPS,Puzzle,Masterpiece"
OrbusVR: Reborn,"Mostly Positive,(708),- 78% of the 708 user reviews for this game are positive.","VR,Massively Multiplayer,RPG,Indie,MMORPG,Early Access"
Microcosmum: survival of cells,"Mostly Positive,(708),- 79% of the 708 user reviews for this game are positive.","Indie,Casual,Strategy,Simulation,Action,RPG,Singleplayer,RTS,2D,Physics,Relaxing,Atmospheric,Great Soundtrack,Puzzle,Realistic,Sandbox,Survival,Space,Exploration,Adventure"
Marle: The Labyrinth of the Black Sea,"Mostly Positive,(71),- 70% of the 71 user reviews for this game are positive.","RPG,Indie,Nudity,Adventure,Female Protagonist,Sexual Content,Anime,Funny,JRPG,RPGMaker,Memes"
Tiny Tanks,"Mostly Positive,(71),- 71% of the 71 user reviews for this game are positive.","Early Access,Indie,Action,Casual,Physics,Multiplayer,Early Access,Local Multiplayer,Funny,4 Player Local,Online Co-Op,Fast-Paced,Fighting,Controller,Local Co-Op,Competitive,Family Friendly,Simulation,Co-op,Great Soundtrack"
MegaSphere,"Mostly Positive,(71),- 73% of the 71 user reviews for this game are positive.","Early Access,Indie,Action,Adventure,Early Access,Metroidvania,Pixel Graphics,2D,Platformer,Cyberpunk,Sci-fi"
Delta Force: Task Force Dagger,"Mostly Positive,(71),- 78% of the 71 user reviews for this game are positive.","Action,FPS"
Bionic Commando,"Mostly Positive,(711),- 74% of the 711 user reviews for this game are positive.","Action,Adventure,Third Person,Singleplayer,Great Soundtrack,Multiplayer,Third-Person Shooter,Shooter,Masterpiece"
Interstellar Rift,"Mostly Positive,(719),- 72% of the 719 user reviews for this game are positive.","Early Access,Space,Indie,Multiplayer,Action,Early Access,Sandbox,Simulation,Open World,Survival,Sci-fi,Building,Space Sim,Co-op"
Scamp: High Hat Havoc,"Mostly Positive,(72),- 70% of the 72 user reviews for this game are positive.","Free to Play,Adventure,Puzzle-Platformer,Indie,Comedy"
Omega Strike,"Mostly Positive,(72),- 72% of the 72 user reviews for this game are positive.","Action,Indie,Adventure,Metroidvania,Pixel Graphics,2D,Platformer,Retro"
Expansion - Crusader Kings II: Legacy of Rome,"Mostly Positive,(72),- 72% of the 72 user reviews for this game are positive.","Strategy,Grand Strategy"
Conan Exiles - Jewel of the West Pack,"Mostly Positive,(72),- 72% of the 72 user reviews for this game are positive.","Massively Multiplayer,Nudity,RPG,Simulation,Strategy,Action,Adventure,Gore,Violent"
Rocket Knight,"Mostly Positive,(72),- 73% of the 72 user reviews for this game are positive.","Action,Adventure,Platformer"
7'scarlet,"Mostly Positive,(72),- 73% of the 72 user reviews for this game are positive.","Adventure,Visual Novel,Otome,Female Protagonist,Anime"
Deck Hunter,"Mostly Positive,(72),- 75% of the 72 user reviews for this game are positive.","Early Access,Card Game,Indie,Adventure,RPG,Early Access,Rogue-lite,Rogue-like,Turn-Based Combat,Strategy,Cartoony,Difficult,Turn-Based,Singleplayer,Dungeon Crawler,Lore-Rich,Replay Value,Female Protagonist,Cartoon"
VRMultigames,"Mostly Positive,(72),- 76% of the 72 user reviews for this game are positive.","Action,Indie,Sports,Casual,Free to Play,VR"
Dungeon Kingdom: Sign of the Moon,"Mostly Positive,(72),- 76% of the 72 user reviews for this game are positive.","Early Access,RPG,Dungeon Crawler,Indie,Grid-Based Movement,Adventure,Early Access,Fantasy,Action,Great Soundtrack,First-Person"
Pipes!,"Mostly Positive,(72),- 77% of the 72 user reviews for this game are positive.","Casual,Indie,Puzzle"
Annotation of Love,"Mostly Positive,(72),- 77% of the 72 user reviews for this game are positive.","Free to Play,Indie,Casual"
Zafehouse Diaries 2,"Mostly Positive,(72),- 79% of the 72 user reviews for this game are positive.","Strategy,RPG,Indie,Zombies,Survival"
Groove Coaster,"Mostly Positive,(720),- 77% of the 720 user reviews for this game are positive.","Rhythm,Music,Action,Arcade,Anime,Great Soundtrack,Singleplayer"
Driver Booster 4 for Steam,"Mostly Positive,(723),- 75% of the 723 user reviews for this software are positive.",Utilities
MXGP - The Official Motocross Videogame,"Mostly Positive,(723),- 77% of the 723 user reviews for this game are positive.","Racing,Sports,Simulation,Offroad,Motocross,Multiplayer,Motorbike,Realistic,Action,Adventure,Bikes,Singleplayer,Free to Play"
Dungeons & Dragons: Chronicles of Mystara,"Mostly Positive,(723),- 79% of the 723 user reviews for this game are positive.","Beat 'em up,Arcade,Action,RPG,Online Co-Op,Local Co-Op,Adventure,Dungeons & Dragons,Side Scroller,Classic,4 Player Local,Co-op,Fantasy,2D,Retro"
The Red Solstice,"Mostly Positive,(726),- 76% of the 726 user reviews for this game are positive.","Action,RPG,Co-op,Tactical,Strategy,Indie,Survival,Multiplayer,Top-Down,Isometric,Sci-fi,Adventure,RTS,Kickstarter,Action RPG,Space,Horror,Aliens,Zombies,Strategy RPG"
PAYDAY 2: Gage Historical Pack,"Mostly Positive,(726),- 79% of the 726 user reviews for this game are positive.","Action,RPG,FPS,Co-op,Stealth"
ROMBY,"Mostly Positive,(73),- 71% of the 73 user reviews for this game are positive.","Casual,Indie,Strategy,Puzzle,Great Soundtrack,Match 3,Singleplayer,Colorful,Female Protagonist"
I ??You!,"Mostly Positive,(73),- 72% of the 73 user reviews for this game are positive.","Sexual Content,Nudity,Simulation,Adventure,Anime,Visual Novel"
aerofly RC 7,"Mostly Positive,(73),- 72% of the 73 user reviews for this game are positive.","Simulation,Indie,Flight"
Wizardry 6: Bane of the Cosmic Forge,"Mostly Positive,(73),- 73% of the 73 user reviews for this game are positive.","RPG,Adventure,First-Person,Dungeon Crawler,Party-Based RPG,Classic,Turn-Based Combat,Grid-Based Movement,Turn-Based,Fantasy,CRPG,Old School,Singleplayer"
CHRONO,"Mostly Positive,(73),- 75% of the 73 user reviews for this game are positive.","Free to Play,Casual,Action,Multiplayer,Local Multiplayer,Controller"
GameLoading: Rise of the Indies,"Mostly Positive,(73),- 75% of the 73 user reviews for this video are positive.","Indie,Documentary,Gaming,Dark,Game Development,Linear,Mature"
Saints Row IV: Dubstep Gun (Remix) Pack,"Mostly Positive,(73),- 78% of the 73 user reviews for this game are positive.","Action,Adventure"
DARK SOULS??II Crown of the Sunken King,"Mostly Positive,(73),- 78% of the 73 user reviews for this game are positive.","RPG,Masterpiece,Adventure,Dark Fantasy,Difficult,Action RPG,Action,Female Protagonist,Souls-like,Third Person"
Neoncube,"Mostly Positive,(73),- 79% of the 73 user reviews for this game are positive.","Adventure,Indie,Colorful,Level Editor,Abstract,2D,Puzzle-Platformer,Online Co-Op"
Fat Prisoner Simulator,"Mostly Positive,(73),- 79% of the 73 user reviews for this game are positive.","Sports,Simulation,Indie,Funny,Fighting,Fast-Paced,Sandbox,Comedy,Third Person,Arcade,Physics,Singleplayer,Relaxing,Atmospheric,Replay Value"
Bloody Good Time,"Mostly Positive,(730),- 76% of the 730 user reviews for this game are positive.","Action,Multiplayer,FPS,Comedy,Funny,Shooter,First-Person,Gore"
The Witcher Adventure Game,"Mostly Positive,(731),- 78% of the 731 user reviews for this game are positive.","Board Game,Strategy,Adventure,Multiplayer,Singleplayer,Fantasy,Card Game,Turn-Based,Great Soundtrack,Touch-Friendly"
Party Panic,"Mostly Positive,(737),- 72% of the 737 user reviews for this game are positive.","Casual,Multiplayer,Indie,Action,4 Player Local,Local Multiplayer,Funny,Minigames,Split Screen,Early Access"
Need For Drink,"Mostly Positive,(737),- 73% of the 737 user reviews for this game are positive.","Action,Casual,Adventure,Simulation,Multiplayer,Funny,Indie,First-Person,Singleplayer,Early Access,Sexual Content"
ATOMEGA,"Mostly Positive,(737),- 76% of the 737 user reviews for this game are positive.","Action,Indie,Multiplayer,FPS,First-Person"
Slapshot,"Mostly Positive,(737),- 78% of the 737 user reviews for this game are positive.","Free to Play,Sports,Indie,Hockey,Multiplayer"
